Rk,Player,age,proPic,WS,salary,projSalary
275,DeJon Jarreau\jarrede01,24,,0,$3098400,$4765339
276,DaQuan Jeffries\jeffrda01,24,,0,$3053760,$3206640
277,Ty Jerome\jeromty01,24,,0.5,$3000000,$3000000
278,Isaiah Joe\joeis01,22,,0.4,$3000000,
279,Alize Johnson\johnsal02,25,,0.1,$3000000,$3150000
280,B.J. Johnson\johnsbj01,26,,0.1,$2957520,$3098400
281,Cameron Johnson\johnsca02,25,,5.6,$2901240,$3046200
282,David Johnson\johnsda08,20,,0,$5256308,$2866667
283,Jalen Johnson\johnsja05,20,,0,$2844429,$2844429
284,James Johnson\johnsja01,34,,1.7,$2840160,$4379527
285,Joe Johnson\johnsjo02,40,,0,$2824320,$2959080
286,Keldon Johnson\johnske04,22,,4.9,$2770560,$2909160
287,Keon Johnson\johnske07,19,,-0.5,$2726880,$4343920
288,Stanley Johnson\johnsst04,25,,1.8,$2711280,$2840160
289,Tyler Johnson\johnsty01,29,,0.1,$2659560,$2792520
290,Nikola Jokić\jokicni01,26,,15.2,$2641691,
291,Carlik Jones\jonesca03,24,,-0.1,$2641691,
292,Damian Jones\jonesda03,26,,3.3,$2641691,
293,Derrick Jones Jr.\jonesde02,24,,2.2,$2641691,
294,Herbert Jones\joneshe01,23,,4.6,$2641691,
295,Jemerrio Jones\jonesje01,26,,0.1,$11109327,$7827907
296,Kai Jones\joneska01,21,,0,$2641691,
297,Mason Jones\jonesma05,23,,0.2,$2641691,
298,Tre Jones\jonestr01,22,,2.9,$2641691,
299,Tyus Jones\jonesty01,25,,5.1,$2641691,
300,DeAndre Jordan\jordade01,33,,1.9,$2641691,
301,Cory Joseph\josepco01,30,,2.5,$2641691,
302,Georgios Kalaitzakis\kalaige01,23,,-0.1,$2641691,
303,Frank Kaminsky\kaminfr01,28,,0.9,$32405817,
304,Luke Kennard\kennalu01,25,,4.5,$2641691,
305,Braxton Key\keybr01,24,,0.2,$2641691,
306,George King\kingge03,28,,-0.1,$2641691,
307,Louis King\kinglo02,22,,0,$2617800,$4306281
308,Corey Kispert\kispeco01,22,,2.3,$2602920,$2726880
309,Maxi Kleber\klebima01,30,,3,$2553120,$2681040
310,Brandon Knight\knighbr03,30,,0.1,$2513040,$4264629
311,Nathan Knight\knighna01,24,,1,$2500000,$2625000
312,Kevin Knox\knoxke01,22,,0.2,$2498760,$2617800
313,John Konchar\konchjo01,25,,4.2,$2451120,$2573760
314,Furkan Korkmaz\korkmfu01,24,,1.2,$2412840,$4220057
315,Luke Kornet\kornelu01,26,,0.4,$2401537,
316,Vit Krejci\krejcvi01,21,,0.6,$2401537,
317,Arnoldas Kulboka\kulboar01,24,,0,$2401537,
318,Jonathan Kuminga\kuminjo01,19,,3,$2401537,
319,Kyle Kuzma\kuzmaky01,26,,2,$7310000,$5155000
320,Anthony Lamb\lamban01,24,,0,$2389641,
321,Jeremy Lamb\lambje01,29,,1.2,$2389641,
322,Jock Landale\landajo01,26,,1.5,$2389641,
323,Romeo Langford\langfro01,22,,1.3,$2389641,
324,Zach LaVine\lavinza01,26,,5.8,$2389641,
325,Jake Layman\laymaja01,27,,0.1,$5256308,$2866667
326,Damion Lee\leeda03,29,,2.7,$2389641,
327,Saben Lee\leesa01,22,,0.9,$2353320,$2471160
328,Alex Len\lenal01,28,,0.9,$2353320,$2471160
329,Caris LeVert\leverca01,27,,2.2,$2327220,$2443581
330,Kira Lewis Jr.\lewiski01,20,,-0.1,$2316240,$4171548
331,Scottie Lewis\lewissc01,21,,0,$2303040,$2412840
332,Damian Lillard\lillada01,31,,1.7,$2259240,$2372160
333,Nassir Little\littlna01,21,,1.7,$2245400,
334,Isaiah Livers\liveris01,23,,0.7,$2239544,
335,Kevon Looney\looneke01,25,,6.8,$2239544,
336,Brook Lopez\lopezbr01,33,,0.7,$2239200,$4037278
337,Robin Lopez\lopezro01,33,,0.8,$2210640,$2316240
338,Didi Louzada\louzama01,22,,0,$2197674,$2302326
339,Kevin Love\loveke01,33,,5.7,$2168760,$2277000
340,Kyle Lowry\lowryky01,35,,6.4,$2161440,$3901399
341,Gabriel Lundberg\lundbga01,27,,0,$2161152,
342,Timothé Luwawu-Cabarrot\luwawti01,26,,0.9,$2145720,$3873025
343,Trey Lyles\lylestr01,26,,3.5,$2137440,$2239200
