Rk,MP,FT,ORB,DRB,AST,STL,BLK,TOV,PF,PTS
56,81,2,4,16,5,1,2,4,4,33
57,241,11,16,27,21,6,0,13,26,50
58,69,5,4,3,4,8,2,2,10,12
59,2345,315,45,297,329,77,26,162,180,1822
60,760,59,17,94,51,26,13,31,43,343
61,1690,150,179,315,25,49,75,42,174,754
62,304,27,22,30,26,7,1,15,29,142
63,1406,16,31,105,47,53,9,38,118,394
64,549,19,67,119,27,10,33,34,62,163
65,536,21,23,49,37,10,3,17,48,210
66,2854,131,74,273,185,96,36,68,150,1162
67,2837,267,90,469,300,74,67,150,193,1613
68,1564,114,108,250,72,44,29,54,116,613
69,1206,143,33,152,212,30,14,77,71,687
70,844,18,20,83,62,28,11,27,74,288
71,885,90,29,73,88,36,8,50,105,590
72,1774,97,100,245,148,77,52,56,176,647
73,177,9,14,18,6,10,4,5,18,30
74,104,5,1,15,4,2,0,1,7,31
75,640,44,38,97,35,26,24,36,90,225
76,2220,241,53,351,231,70,18,178,163,1559
77,345,43,39,96,1,7,16,20,53,171
78,628,14,26,123,34,14,7,23,56,160
79,1055,20,39,164,66,36,5,26,62,283
80,2524,179,43,266,377,66,3,124,151,1285
81,439,35,26,82,23,6,21,19,43,201
82,10,0,1,1,2,1,0,2,1,2
83,1902,40,33,208,83,41,14,40,111,583
84,441,20,4,29,57,12,0,26,39,214
85,2318,217,47,350,239,85,26,91,215,944
86,360,11,5,40,63,17,8,33,47,161
87,1931,396,102,234,312,94,27,121,88,1219
88,121,4,8,34,6,8,7,3,16,46
89,2329,137,41,220,145,83,26,97,139,1018
90,1184,60,23,94,220,63,23,67,124,332
91,176,9,8,23,17,2,3,9,18,62
92,145,5,1,5,10,5,3,5,9,50
93,2042,80,279,598,92,55,93,44,166,820
94,44,6,8,4,0,2,1,3,4,20
95,905,15,14,96,96,24,14,34,67,277
96,1852,143,139,509,171,36,43,117,169,931
97,1147,58,33,115,165,71,15,57,106,304
98,183,1,13,27,10,6,3,7,19,34
99,1,0,0,0,0,0,0,0,0,2
100,281,9,37,35,11,8,4,8,32,81
101,5,0,0,0,0,0,0,0,0,0
102,372,2,9,27,65,13,0,32,32,67
103,346,22,33,70,17,13,12,17,64,154
104,1334,83,52,134,150,65,13,114,97,587
105,378,7,23,67,18,13,7,10,20,101
106,1246,85,135,207,86,39,68,34,122,666
107,2141,144,67,206,194,66,16,129,149,1266
108,974,54,91,173,43,24,51,38,110,410
109,1567,101,26,171,124,38,15,45,87,619
110,1663,134,93,329,98,33,56,60,164,876
111,502,52,46,107,61,13,23,45,67,218
