Rk,Player,age,WS,salary,projSalary,playerTeam
181,Daniel Gafford,23,6,6350000.00,6667750.00,Washington Wizards
182,Danilo Gallinari,33,3.6,6349671.00,,Atlanta Hawks
183,Langston Galloway,30,-0.2,6175440.00,6632880.00,TOT
184,Darius Garland,22,6.3,6104280.00,6395160.00,Cleveland Cavaliers
185,Marcus Garrett,23,0.1,6006420.00,6292440.00,Miami Heat
186,Usman Garuba,19,0.5,5988000.00,6287400.00,Houston Rockets
187,Luka Garza,23,0.8,5890000.00,6184500.00,Detroit Pistons
188,Rudy Gay,35,2.1,5890000.00,,Utah Jazz
189,Paul George,31,1.3,5890000.00,6184500.00,Los Angeles Clippers
190,Taj Gibson,36,2.7,5845978.00,,New York Knicks
191,Josh Giddey,19,0.4,5837760.00,7413955.00,Oklahoma City Thunder
192,Shai Gilgeous-Alexander,23,4.6,5573334.00,,Oklahoma City Thunder
193,Anthony Gill,29,1.4,5572680.00,5837760.00,Washington Wizards
194,Freddie Gillespie,24,0.1,5557725.00,20089286.00,Orlando Magic
195,Rudy Gobert,29,11.7,5495532.00,29750000.00,Utah Jazz
196,Brandon Goodwin,26,0.7,5466360.00,5739960.00,Cleveland Cavaliers
197,Jordan Goodwin,23,-0.1,5421493.00,,Washington Wizards
198,Aaron Gordon,26,5.2,5348280.00,6803012.00,Denver Nuggets
199,Eric Gordon,33,1.4,5333333.00,5728395.00,Houston Rockets
200,Devonte' Graham,26,2.8,5258735.00,29750000.00,New Orleans Pelicans
201,Jerami Grant,27,2.3,5214584.00,,Detroit Pistons
202,Hassani Gravett,25,0.3,5200000.00,5200000.00,Orlando Magic
203,Danny Green,34,1.9,5178572.00,,Philadelphia 76ers
204,Draymond Green,31,3.6,5170564.00,,Golden State Warriors
205,Jalen Green,19,0.7,5105160.00,5348280.00,Houston Rockets
206,JaMychal Green,31,2.7,5007840.00,5258280.00,Denver Nuggets
207,Javonte Green,28,4.4,5005350.00,,Chicago Bulls
208,Jeff Green,35,3.9,5000000.00,,Denver Nuggets
209,Josh Green,21,2.4,5000000.00,,Dallas Mavericks
210,Blake Griffin,32,2.1,5000000.00,5250000.00,Brooklyn Nets
211,Quentin Grimes,21,1.4,5000000.00,,New York Knicks
212,Kyle Guy,24,0.1,4990000.00,,Miami Heat
213,Rui Hachimura,23,1.4,4916160.00,6263188.00,Washington Wizards
214,Tyrese Haliburton,21,7,4910000.00,5155500.00,TOT
215,Tyler Hall,24,0,7310000.00,5155000.00,New York Knicks
216,R.J. Hampton,20,-0.2,4910000.00,5155500.00,Orlando Magic
217,Tim Hardaway Jr.,29,2,4878049.00,5121951.00,Dallas Mavericks
218,James Harden,32,7.6,2641691.00,,TOT
219,Maurice Harkless,28,0.5,4736102.00,,Sacramento Kings
220,Jared Harper,24,0.4,4692840.00,4916160.00,New Orleans Pelicans
221,Montrezl Harrell,28,7.3,4675830.00,,TOT
222,Gary Harris,27,2.2,4670160.00,5954454.00,Orlando Magic
223,Joe Harris,30,0.5,4650000.00,5022000.00,Brooklyn Nets
224,Tobias Harris,29,5.6,4629630.00,5000000.00,Philadelphia 76ers
225,Shaquille Harrison,28,0,4603320.00,4833600.00,Brooklyn Nets
226,Josh Hart,26,4.4,4500000.00,4725000.00,TOT
227,Isaiah Hartenstein,23,5.5,4500000.00,4500000.00,Los Angeles Clippers
228,Udonis Haslem,41,0.1,4458000.00,4670160.00,Miami Heat
229,Sam Hauser,24,0.6,4447896.00,,Boston Celtics
230,Jaxson Hayes,21,5.1,4437000.00,5887899.00,New Orleans Pelicans
231,Killian Hayes,20,0.5,4373160.00,4591920.00,Detroit Pistons
232,Gordon Hayward,31,2.8,4347600.00,4564980.00,Charlotte Hornets
233,Aaron Henry,22,-0.1,4347600.00,4564980.00,Philadelphia 76ers
234,Juancho Hernangómez,26,0.9,4259259.00,4600000.00,TOT
235,Willy Hernangómez,27,3.2,4253357.00,14508929.00,New Orleans Pelicans
236,Tyler Herro,22,3.8,4235160.00,4437000.00,Miami Heat
237,Buddy Hield,29,1.9,4215120.00,5808435.00,TOT
238,Haywood Highsmith,25,0.1,4154400.00,4362240.00,Miami Heat
239,George Hill,35,2.3,4087904.00,,Milwaukee Bucks
240,Malcolm Hill,26,0.6,4054695.00,9615385.00,TOT
241,Solomon Hill,30,0,4023600.00,4215120.00,Atlanta Hawks
242,Nate Hinton,22,-0.1,4004280.00,5722116.00,Indiana Pacers
243,Jaylen Hoard,22,0.6,4000000.00,12402000.00,Oklahoma City Thunder
244,Aaron Holiday,25,1.5,4000000.00,4000000.00,TOT
245,Jrue Holiday,31,6.9,4000000.00,4000000.00,Milwaukee Bucks
246,Justin Holiday,32,1.4,4000000.00,,TOT
247,Richaun Holmes,28,3.2,3980551.00,,Sacramento Kings
248,Rodney Hood,29,0.7,3946800.00,4144320.00,TOT
